A	Name	RAJ2000	DEJ2000	logM*	Dmean
 	 	deg	deg	[Msun]	Mpc
-	----------	---------	---------	------	-------
 	NGC4189   	183.44691	+13.42476	10.491	 30.411
 	NGC4190   	183.43575	+36.63337	 7.787	  3.135
 	NGC4192   	183.45118	+14.90057	10.771	 15.990
 	NGC4193   	183.47325	+13.17295	10.504	 37.354
 	NGC4194   	183.54020	+54.52652	10.501	 39.100
 	NGC4197   	183.66030	+05.80478	10.032	 29.756
 	NGC4203   	183.77105	+33.19738	10.528	 14.940
 	NGC4204   	183.80994	+20.65895	 8.755	  7.900
 	NGC4205   	183.73088	+63.78254	 9.761	
 	NGC4206   	183.82006	+13.02404	 9.969	 20.592
 	NGC4207   	183.87681	+09.58494	 9.870	 18.040
 	NGC4210   	183.81611	+65.98532	10.457	
 	NGC4212   	183.91399	+13.90155	10.377	 19.014
 	NGC4214   	183.91305	+36.32800	 9.076	  3.401
 	NGC4216   	183.97657	+13.14944	10.997	 17.110
 	NGC4217   	183.96244	+47.09160	10.676	 19.577
 	NGC4220   	184.04896	+47.88343	10.362	 17.900
 	ESO359-029	063.21048	-33.00286	 8.072	
 	ESO359-031	063.29181	-34.42530	 8.688	
 	ESO361-009	071.74515	-35.91653	 7.989	
 	ESO361-015	072.98900	-33.17927	 9.477	 19.478
 	ESO361-019	073.71962	-37.32085	 9.369	
 	ESO362-009	077.99726	-32.97206	 8.902	 10.200
 	ESO362-011	079.16179	-37.10284	10.022	 20.217
 	ESO362-019	080.26546	-36.95673	 8.614	 16.533
 	ESO399-025	303.36543	-37.18876	10.247	
 	ESO400-025	306.90966	-32.95758	 9.114	
 	ESO402-025	320.56634	-36.62756	 9.119	
 	ESO402-026	320.63072	-36.68153	10.807	 48.150
 	ESO402-030	321.68517	-34.49894	10.072	
 	ESO403-024	326.66521	-36.20553	 9.459	
 	ESO403-031	327.01685	-36.77266	 9.046	 31.000
 	ESO404-003	328.16558	-36.50273	 9.784	
 	ESO404-012	329.28003	-34.58214	10.443	 36.440
 	ESO404-017	330.23372	-35.28663	 9.350	 41.300
 	ESO404-018	330.29220	-32.57877	 8.893	 27.850
 	ESO404-027	330.94923	-32.28499	10.133	 39.380
 	ESO406-042	345.55935	-37.08359	 8.792	 19.650
 	ESO407-007	347.41390	-36.42003	10.202	 32.840
 	ESO407-009	348.18680	-37.20793	 9.410	 24.617
 	ESO407-014	349.41483	-34.79080	10.042	 40.445
 	ESO407-018	351.61665	-32.38919	 6.858	  1.987
 	ESO408-012	354.39370	-36.99620	 9.724	 56.600
 	ESO409-015	001.38364	-28.09991	 7.787	
 	ESO410-012	007.07330	-27.98252	 8.050	
 	ESO410-018	008.54590	-30.77452	 8.811	 19.000
 	UGC08642  	204.87048	+46.01538	 8.721	 34.425
 	UGC08651  	204.97378	+40.73892	 6.965	  3.178
 	UGC08658  	205.16607	+54.33288	10.091	 40.986
 	UGC08662  	205.32167	+33.77257	 9.025	 32.200
