_RAJ2000;_DEJ2000;Name;Dist;RAJ2000;DEJ2000;logMBH
deg;deg; ;Mpc;"h:m:s";"d:m:s";[Msun]
-----------;-----------;----------------------------;------;-----------;-----------;-----
059.9040833;-67.6342500;NGC 1511                    ;19.000;03 59 36.98;-67 38 03.3;
060.2279167;-67.6119444;NGC 1511B                   ; 8.387;04 00 54.70;-67 36 43.0;
065.8629167;+75.2955833;NGC 1530                    ;36.600;04 23 27.10;+75 17 44.1;
062.7494167;-56.4804444;NGC 1536                    ;13.400;04 10 59.86;-56 28 49.6;
064.0436250;-55.7801389;NGC 1553                    ;18.700;04 16 10.47;-55 46 48.5; 8.04
067.7049583;+64.8479167;NGC 1569                    ; 3.400;04 30 49.19;+64 50 52.5; 4.89
067.6823750; +0.6647222;NGC 1588                    ;34.200;04 30 43.77;+00 39 53.0; 7.68
067.9238750; -5.0602778;NGC 1601                    ;49.600;04 31 41.73;-05 03 37.0; 8.13
067.9582083; -5.0944444;NGC 1603                    ;49.600;04 31 49.97;-05 05 40.0; 7.03
070.3676250; -2.8580278;NGC 1637                    ;12.000;04 41 28.23;-02 51 28.9;
070.4021250; -1.8090278;NGC 1638                    ;27.900;04 41 36.51;-01 48 32.5; 7.58
070.5605417;-20.4347778;NGC 1640                    ;19.100;04 42 14.53;-20 26 05.2;
071.4272917;-59.2474167;NGC 1672                    ;14.500;04 45 42.55;-59 14 50.7; 6.68
074.2347917; -4.8657222;NGC 1700                    ;46.400;04 56 56.35;-04 51 56.6; 8.71
073.2172500;-59.7422222;NGC 1703                    ;17.400;04 52 52.14;-59 44 32.0;
073.5562500;-53.3610556;NGC 1705                    ; 5.510;04 54 13.50;-53 21 39.8; 5.98
075.0653750; -3.3525000;NGC 1729                    ;37.700;05 00 15.69;-03 21 09.0;
076.6071667;-31.9542222;NGC 1800                    ; 8.020;05 06 25.72;-31 57 15.2;
076.9264167;-37.5130556;NGC 1808                    ;12.300;05 07 42.34;-37 30 47.0; 7.64
085.4630000;-64.3011389;NGC 2082                    ;12.100;05 41 51.12;-64 18 04.1;
088.0475000; -7.4561667;NGC 2110                    ;34.300;05 52 11.40;-07 27 22.2; 8.86
090.2831667;-23.6723056;NGC 2139                    ;37.000;06 01 07.96;-23 40 20.3;
094.6571250;+78.3570278;NGC 2146                    ;18.000;06 18 37.71;+78 21 25.3; 7.28
092.0091667;-21.7466667;NGC 2179                    ;34.200;06 08 02.20;-21 44 48.0;
094.0920417;-21.3727222;NGC 2207                    ;39.600;06 16 22.09;-21 22 21.8;
095.4157500;-27.2337500;NGC 2217                    ;25.600;06 21 39.78;-27 14 01.5;
100.6721250;-27.4594722;NGC 2272                    ;32.600;06 42 41.31;-27 27 34.1; 7.82
111.8098333;+85.7545556;NGC 2276                    ;36.800;07 27 14.36;+85 45 16.4; 6.34
102.1554167;-64.2733333;NGC 2305                    ;47.700;06 48 37.30;-64 16 24.0; 8.79
107.5565833;+44.4573333;NGC 2337                    ;11.800;07 10 13.58;+44 27 26.4;
114.2141667;+65.6025556;NGC 2403                    ; 4.270;07 36 51.40;+65 36 09.2; 5.89
113.7131667;-69.2841389;NGC 2434                    ;22.200;07 34 51.16;-69 17 02.9; 8.16
120.4717917;+50.7371111;NGC 2500                    ;10.100;08 01 53.23;+50 44 13.6; 5.04
123.6669583;+49.0614444;NGC 2541                    ;16.200;08 14 40.07;+49 03 41.2; 5.31
124.8356667;+50.0097500;NGC 2552                    ; 9.850;08 19 20.56;+50 00 35.1;
132.0193750;+74.0988056;NGC 2633                    ;32.900;08 48 04.65;+74 05 55.7; 6.71
132.1059583;+73.9671111;NGC 2634                    ;45.200;08 48 25.43;+73 58 01.6; 8.09
131.2843750;-33.7947500;NGC 2663                    ;29.600;08 45 08.25;-33 47 41.1; 9.16
