NAME	RA	DEC	Redshift	r_SDSS	Current Status	Obs. Date	SDSS picture (1.5'x1.5')
NGC2565	08:19:48.30	+22:01:53.20	0.012027	12.8497	V500+V1200 Completed	2014-11-25	NGC2565
UGC04323	08:20:19.88	+66:58:55.38	0.013323	12.8837	V500+V1200 Completed	2015-01-28	UGC04323
NGC2572	08:21:24.62	+19:08:51.99	0.0265812	13.7261	V500+V1200 Completed	2014-12-17	NGC2572
NGC2577	08:22:43.44	+22:33:11.04	0.007055	12.1634	V500+V1200 Completed	2014-11-19	NGC2577
IC2341	08:23:41.44	+21:26:05.56	0.0171635	13.3239	V500+V1200 Completed	2015-01-28	IC2341
IC2361	08:25:44.49	+27:52:28.44	0.00697024	13.7956	V500+V1200 Completed	2015-03-28	IC2361
NGC2592	08:27:08.05	+25:58:13.13	0.006628	12.265	V500+V1200 Completed	2014-10-30	NGC2592
NGC2596	08:27:26.51	+17:17:02.67	0.0198501	13.4139	V500+V1200 Completed	2015-01-28	NGC2596
UGC04425	08:28:14.38	+28:03:26.32	0.0197557	14.1684	V500+V1200 Completed	2015-01-28	UGC04425
UGC04461	08:33:22.67	+52:31:56.16	0.0166385	13.7056	V500+V1200 Completed	2012-02-24	UGC04461
NGC2604	08:33:23.13	+29:32:19.71	0.00694248	13.2788	V500+V1200 Completed	2014-04-27	NGC2604
UGC04468	08:33:30.76	+41:31:31.67	0.0247557	13.3641	V500+V1200 Completed	2015-01-28	UGC04468
NGC2623	08:38:24.00	+25:45:16.31	0.018473	13.6821	V500+V1200 Completed	2012-01-20	NGC2623
UGC04532	08:41:41.25	+18:51:35.73	0.0154997	15.2233	V500+V1200 Completed	2015-03-28	UGC04532
NGC2638	08:42:25.76	+37:13:15.74	0.0128801	13.0057	V500+V1200 Completed	2015-03-29	NGC2638
UGC04548	08:43:07.54	+18:13:21.37	0.0209763	14.5523	V1200 Completed	2015-01-25	UGC04548
UGC04550	08:43:15.92	+13:05:08.87	0.00692045	13.8632	V500+V1200 Completed	2015-03-28	UGC04550
NGC2639	08:43:38.06	+50:12:19.93	0.010854	11.6639	V500+V1200 Completed	2013-02-05	NGC2639
UGC04546	08:43:51.33	+51:59:28.29	0.0173929	13.9265	V500+V1200 Completed	2015-01-28	UGC04546
UGC04551	08:44:05.91	+49:47:37.91	0.005797	12.3495	V500+V1200 Completed	2015-03-28	UGC04551
IC2407	08:48:09.14	+17:36:41.28	0.0206276	14.2474	V500+V1200 Completed	2015-03-28	IC2407
UGC04659	08:54:40.53	+47:06:17.57	0.0060604	14.6978	V500+V1200 Completed	2012-12-13	UGC04659
UGC04722	09:00:24.12	+25:36:53.07	0.00575291	15.323	V500+V1200 Completed	2013-01-08	UGC04722
NGC2730	09:02:15.82	+16:50:17.84	0.0128214	13.4573	V500+V1200 Completed	2013-11-07	NGC2730
NGC2805	09:20:20.38	+64:06:10.71	0.00607164	13.2673	V500+V1200 Completed	2014-04-25	NGC2805
NGC2880	09:29:34.56	+62:29:26.04	0.00513	11.7174	V500+V1200 Completed	2013-05-01	NGC2880
IC2487	09:30:09.16	+20:05:27.03	0.0145248	13.2599	V500+V1200 Completed	2012-01-20	IC2487
IC0540	09:30:10.33	+07:54:09.90	0.00690755	13.6479	V500+V1200 Completed	2012-04-22	IC0540
NGC2906	09:32:06.21	+08:26:30.36	0.007138	12.2309	V500, Completed	2012-12-13	NGC2906
NGC2916	09:34:57.60	+21:42:18.94	0.01244	12.6337	V500+V1200 Completed	2012-01-20	NGC2916
UGC05108	09:35:26.28	+29:48:45.43	0.027112	13.6767	V500+V1200 Completed	2012-12-02	UGC05108
NGC2918	09:35:44.04	+31:42:19.67	0.0225639	12.6197	V500+V1200 Completed	2013-11-08	NGC2918
